seed,episode_key,condition_id,generator,attempt_id,usable,selected,success,solver_error
20260818,episode_0,0,baseline,0,True,True,True,
20260818,episode_1,1,du,0,True,True,True,
20260818,episode_2,2,du,0,True,True,True,
20260818,episode_3,3,dv,0,True,True,True,
20260818,episode_4,4,dv,0,True,True,True,
20260818,episode_5,5,dw,0,True,True,True,
20260818,episode_6,6,dw,0,True,True,True,
20260818,episode_7,7,roll,0,True,True,True,
20260818,episode_8,8,roll,0,True,True,True,
20260818,episode_9,9,pitch,0,True,True,True,
20260818,episode_10,10,pitch,0,True,True,True,
20260818,episode_11,11,yaw,0,True,True,True,
20260818,episode_12,12,yaw,0,True,True,True,
20260818,episode_13,13,yaw,0,True,True,True,
20260818,episode_14,14,yaw,0,True,True,True,
20260818,episode_15,15,mixed,0,True,True,True,
20260818,episode_16,16,mixed,0,True,True,True,
20260818,episode_17,17,mixed,0,True,True,True,
20260818,episode_18,18,mixed,0,True,True,True,
20260818,episode_19,19,mixed,0,True,True,True,
20260818,episode_20,20,mixed,0,True,True,True,
20260818,episode_21,21,mixed,0,True,True,True,
20260818,episode_22,22,mixed,0,True,True,True,
20260818,episode_23,23,mixed,0,True,True,True,
20260818,episode_24,24,mixed,0,True,True,True,
20260818,episode_25,25,mixed,0,True,True,True,
20260818,episode_26,26,mixed,0,True,True,True,
20260818,episode_27,27,mixed,0,True,True,True,
20260818,episode_28,28,mixed,0,True,True,True,
20260818,episode_29,29,mixed,0,True,True,True,
20260818,episode_30,30,mixed,0,True,True,True,
20260818,episode_31,31,mixed,0,True,True,True,
20260818,episode_32,32,mixed,0,True,True,True,
20260818,episode_33,33,mixed,0,True,True,True,
20260818,episode_34,34,mixed,0,True,True,True,
20260818,episode_35,35,mixed,0,True,True,True,
20260818,episode_36,36,mixed,0,True,True,True,
20260818,episode_37,37,mixed,0,True,True,True,
20260818,episode_38,38,mixed,0,True,True,True,
20260818,episode_39,39,mixed,0,True,True,True,
20260818,episode_40,40,mixed,0,True,True,True,
20260818,episode_41,41,mixed,0,True,True,True,
20260818,episode_42,42,mixed,0,True,True,True,
20260818,episode_43,43,mixed,0,True,True,True,
20260818,episode_44,44,mixed,0,True,True,True,
20260818,episode_45,45,mixed,0,True,True,True,
20260818,episode_46,46,mixed,0,True,True,True,
20260818,episode_47,47,mixed,0,True,True,True,
20260818,episode_48,48,mixed,0,False,False,False,
20260818,episode_49,48,mixed,1,True,True,True,
20260818,episode_50,49,mixed,0,True,True,True,
20260818,episode_51,50,mixed,0,True,True,True,
20260818,episode_52,51,mixed,0,True,True,True,
20260818,episode_53,52,mixed,0,True,True,True,
20260818,episode_54,53,mixed,0,True,True,True,
20260818,episode_55,54,mixed,0,True,True,True,
20260818,episode_56,55,mixed,0,True,True,True,
20260818,episode_57,56,mixed,0,True,True,True,
20260818,episode_58,57,mixed,0,True,True,True,
20260818,episode_59,58,mixed,0,True,True,True,
20260818,episode_60,59,mixed,0,True,True,True,
20260818,episode_61,60,mixed,0,True,True,True,
20260818,episode_62,61,mixed,0,True,True,True,
20260818,episode_63,62,mixed,0,True,True,True,
20260818,episode_64,63,mixed,0,True,True,True,
20260818,episode_65,64,mixed,0,True,True,True,
