task_key,family,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha_projected,m_relation_projected_correct,alpha_active_du,alpha_active_dv,alpha_active_yaw
drawer_middle_open,prismatic_sliding,20260818,0,random,8,0,TP-GMM additive,True,,0.6013258170569316,0.024582834290293232,True,0.9966616181564941,0.002604282717344064,0.002270409189610728
drawer_middle_open,prismatic_sliding,20260818,0,random,8,0,TP-GMM SE(2),True,,0.4151065250625834,0.025091241505870953,True,0.9696523993941303,0.002658384914526049,0.006212436398216673
drawer_middle_open,prismatic_sliding,20260818,2,random,8,2,TP-GMM additive,True,,0.6837120479904115,0.024469881707945708,True,0.9969587793126622,0.006145223324784185,0.0014245051229968143
drawer_middle_open,prismatic_sliding,20260818,2,random,8,2,TP-GMM SE(2),True,,0.4294690820388496,0.02590224262928154,True,0.9898175896409095,0.007461337012127523,0.004189308053757629
drawer_middle_open,prismatic_sliding,20260818,1,random,8,1,TP-GMM additive,True,,0.7028024999890476,0.025467877077436446,True,0.9948815891931001,0.004047220679078306,0.005118947979009072
drawer_middle_open,prismatic_sliding,20260818,1,random,8,1,TP-GMM SE(2),True,,0.7247958040097728,0.025803939478307978,True,0.9819616553914667,0.004214596524346404,0.012617350438964916
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,TP-GMM additive,True,,1.2681384710595012,0.02498182026063056,True,0.9954508579689686,0.003172679730750243,0.0026932911907214447
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,TP-GMM SE(2),True,,0.48186120903119445,0.028728491014376224,True,0.9364649244378298,0.004162664509470156,0.0032995617939696083
drawer_middle_open,prismatic_sliding,20260818,4,qualified,8,1,TP-GMM additive,True,,1.2525613590842113,0.024484471320973894,True,0.9961953668696788,0.0019250043072189477,0.001591444071028839
drawer_middle_open,prismatic_sliding,20260818,4,qualified,8,1,TP-GMM SE(2),True,,0.6256176449824125,0.02589003828694627,True,0.9194316181650175,0.0024726283636548373,0.0038505977241280664
drawer_middle_open,prismatic_sliding,20260818,7,random,15,1,TP-GMM additive,True,,1.3420916389441118,0.004800980527466137,True,0.9979506859385257,0.0027988938354229736,0.0018391794064712404
drawer_middle_open,prismatic_sliding,20260818,7,random,15,1,TP-GMM SE(2),True,,1.2563718759920448,0.004763138054811502,True,0.9297858956294758,0.0029208198003325744,0.0028378220276479792
drawer_middle_open,prismatic_sliding,20260818,10,qualified,15,1,TP-GMM additive,True,,2.20534648897592,0.004017528152332753,True,0.9972024012810249,0.002426802938435523,0.002927460094395294
drawer_middle_open,prismatic_sliding,20260818,10,qualified,15,1,TP-GMM SE(2),True,,1.2191468509845436,0.004638657803493729,True,0.9102685767008872,0.002275211050525211,0.00648599370134457
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,TP-GMM additive,True,,1.4087134100263938,0.023597271001686942,True,0.9971977186288422,0.007938745107377108,0.002572936293346997
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,TP-GMM SE(2),True,,2.016474092961289,0.024721442466893798,True,0.9804330002410877,0.008229432388669668,0.006291541445613624
drawer_middle_open,prismatic_sliding,20260818,6,random,15,0,TP-GMM additive,True,,1.5526151969097555,0.003828381310388117,True,0.9975332260622055,0.007555588609344724,0.0014025122654594538
drawer_middle_open,prismatic_sliding,20260818,6,random,15,0,TP-GMM SE(2),True,,2.4055112319765612,0.002185201825734752,True,0.9104474415562447,0.0025369336973852415,0.0036704263700443945
drawer_middle_open,prismatic_sliding,20270818,0,random,8,0,TP-GMM additive,True,,0.591332174022682,0.024582834290293232,True,0.9966616181564941,0.002604282717344064,0.002270409189610728
drawer_middle_open,prismatic_sliding,20270818,0,random,8,0,TP-GMM SE(2),True,,0.4188038270222023,0.025091241505870953,True,0.9696523993941303,0.002658384914526049,0.006212436398216673
drawer_middle_open,prismatic_sliding,20260818,12,random,30,0,TP-GMM additive,True,,2.558957171975635,0.003800636825949427,True,0.9981024241693254,0.004391589354460774,0.0014668639187835192
drawer_middle_open,prismatic_sliding,20260818,12,random,30,0,TP-GMM SE(2),True,,1.7173941179644316,0.0036567821562701686,True,0.9858663608285079,0.0045992935856781995,0.005483627697546378
drawer_middle_open,prismatic_sliding,20260818,9,qualified,15,0,TP-GMM additive,True,,3.2056785200256854,0.0038039161139890166,True,0.9964703568532407,0.005132374856388373,0.0285735398956719
drawer_middle_open,prismatic_sliding,20260818,9,qualified,15,0,TP-GMM SE(2),True,,2.1045360709540546,0.006143697529239188,True,0.8958295023735185,0.00530508635382168,0.002556969572418628
drawer_middle_open,prismatic_sliding,20260818,11,qualified,15,2,TP-GMM additive,True,,3.179009014973417,0.004127472520426,True,0.9979383356226862,0.005046219304919876,0.00493309521486893
drawer_middle_open,prismatic_sliding,20260818,11,qualified,15,2,TP-GMM SE(2),True,,2.139830037020147,0.0008204934268040903,True,0.9732756045890273,0.0031089966194130726,0.008397011144980069
drawer_middle_open,prismatic_sliding,20270818,2,random,8,2,TP-GMM additive,True,,0.9618282449664548,0.024469881707945708,True,0.9969587793126622,0.006145223324784185,0.0014245051229968143
drawer_middle_open,prismatic_sliding,20270818,2,random,8,2,TP-GMM SE(2),True,,0.42933214211370796,0.02590224262928154,True,0.9898175896409095,0.007461337012127523,0.004189308053757629
drawer_middle_open,prismatic_sliding,20270818,3,qualified,8,0,TP-GMM additive,True,,0.5937520860461518,0.02498182026063056,True,0.9954508579689686,0.003172679730750243,0.0026932911907214447
drawer_middle_open,prismatic_sliding,20270818,3,qualified,8,0,TP-GMM SE(2),True,,0.47572423599194735,0.028728491014376224,True,0.9364649244378298,0.004162664509470156,0.0032995617939696083
drawer_middle_open,prismatic_sliding,20260818,14,random,30,2,TP-GMM additive,True,,2.2469355260254815,0.0038297526691495414,True,0.9978658074506069,0.003791176277269118,0.0018562977319656845
drawer_middle_open,prismatic_sliding,20260818,14,random,30,2,TP-GMM SE(2),True,,2.258860664907843,0.004835371568270041,True,0.9517605931366052,0.004239011556647493,0.020571810536899326
drawer_middle_open,prismatic_sliding,20270818,4,qualified,8,1,TP-GMM additive,True,,0.5646202759817243,0.024484471320973894,True,0.9961953668696788,0.0019250043072189477,0.001591444071028839
drawer_middle_open,prismatic_sliding,20270818,4,qualified,8,1,TP-GMM SE(2),True,,0.5141488009830937,0.02589003828694627,True,0.9194316181650175,0.0024726283636548373,0.0038505977241280664
drawer_middle_open,prismatic_sliding,20260818,8,random,15,2,TP-GMM additive,True,,3.880647417041473,0.004192747801814245,True,0.9962213259224334,0.0031962773805311565,0.003769681277474837
drawer_middle_open,prismatic_sliding,20260818,8,random,15,2,TP-GMM SE(2),True,,2.556215218035504,0.004973456514176349,True,0.9326616694810969,0.005854453969194283,0.0047067051230613695
drawer_middle_open,prismatic_sliding,20260818,13,random,30,1,TP-GMM additive,True,,3.4573718740139157,0.004174450872637753,True,0.998141301796901,0.002769974235629564,0.0015788291944213964
drawer_middle_open,prismatic_sliding,20260818,13,random,30,1,TP-GMM SE(2),True,,2.2811044440604746,0.005570636675078849,True,0.9150715191844766,0.002371101289947027,0.002783189961386766
drawer_middle_open,prismatic_sliding,20260818,17,qualified,30,2,TP-GMM additive,True,,2.8172131340252236,0.003830366522893165,True,0.9975923377899404,0.005069716016675714,0.0016493642901521295
drawer_middle_open,prismatic_sliding,20260818,17,qualified,30,2,TP-GMM SE(2),True,,1.5219006839906797,0.001043116938058171,True,0.9830465900051433,0.0030921225894693085,0.005223969541038808
